title,date,url,description,source,section,scrape_time
香港有政治犯？張舉能：不評論 法庭只有原告、被告、控辯雙方,2025-01-20 19:09:11,https://std.stheadline.com/realtime/article/2048249/即時-港聞-香港有政治犯-張舉能-不評論-法庭只有原告-被告-控辯雙方,"【法律年度/張舉能/國安法/政治犯】2025年法律年度開啟典禮今日（20日）舉行，終審法院首席法官張舉能典禮後見傳媒時表示，法治和司法獨立，是香港在「一國兩制」成功的關鍵，香港法院為普通法制一部分，適用其他案件的原則同樣適用於國安案件，又強調國安案件只佔法院案件一少部分，不能因此對香港法治或司法獨立狀況作出以偏概全的結論。

海外法官有助提升國際信心

他又提到香港已培養足夠的司法人才， 但海外非常任法官有助提升國際對香港信心，然而明白地緣政治對海外非常任法官構成壓力，呼籲資深大律師積極投身法官行業。",singtao,local,2025-01-20 20:21
祈連活再開腔捍衛聯匯制度 仍是港穩定最佳選擇 「中美關係緊張亦從未削弱」,2025-01-20 19:05:46,https://std.stheadline.com/realtime/article/2048253/即時-財經-祈連活再開腔捍衛聯匯制度-仍是港穩定最佳選擇-中美關係緊張亦從未削弱,"聯繫匯率制度應否「脫鈎」近期再引輿論，有「聯匯之父」之稱的經濟學家祈連活（John Greenwood）表示，聯匯制度仍是維持香港穩定的最佳選擇，一旦脫鈎反而帶來更大風險和不確定情況。

轉換制度將帶來不確定

祈連活接受本港智庫Chartwell Institute訪問時指出，過去40年聯匯制度已經歷多次金融危機，證明了其韌性，並強調「中美貿易爭端引發的緊張局勢已經出現，但至今沒有削弱聯匯制度。」他認為，沒有任何一種解決方案必然正確，「但只要有輕微的逆風吹來，從一種制度轉到另一種制度就會不穩定。」

政府財赤不構成系統性風險

本港正面對龐大財政赤字，被質疑能否長期維繫聯匯制度，祈連活則認為",singtao,finance,2025-01-20 20:22
英超│傳魯賓艾摩廉阻止安東尼借去貝迪斯 不滿曼聯唔買人補充,2025-01-20 18:49:33,https://std.stheadline.com/realtime/article/2048243/即時-體育-英超│傳魯賓艾摩廉阻止安東尼借去貝迪斯-不滿曼聯唔買人補充,"多間英格蘭媒體指曼聯翼鋒安東尼馬菲奧斯將會借用至貝迪斯，但西班牙媒體《Relevo》得到可靠的消息，這宗借用被紅魔領隊魯賓艾摩廉阻止。據報艾摩廉不滿曼聯高層沒有簽入填補其位置，故寧願留用安東尼，認為後者在他麾下有一定的出場時間。

多間媒體指安東尼將投貝迪斯

就意大利轉會專家羅曼諾，以及英格蘭多間媒體的消息，曼聯與貝迪斯基本上已就外借安東尼達成協議，只差最後細節即可敲定轉會，預期本周內可落實。而安東尼亦與貝迪斯達成個人條款協議，曼聯將補貼部分人工，而外借合約中將不含買斷條款。",singtao,sport,2025-01-20 20:22
「五索」食得出嗎？｜《東周刊》專欄  娛樂一針— 黃庭桄,2025-01-20 18:44:49,https://std.stheadline.com/realtime/article/2048241/即時-娛樂-五索-食得出嗎-東周刊-專欄-娛樂一針—-黃庭桄,"即使你不喜歡打麻雀耍樂，也會緊貼時代脈搏，實知道近日城中有一個奇女子「五索」，言行囂張得令人錯愕。

明明做人小三應該躲在暗角，低調地不為人所覺，她卻聲大夾惡，乞人憎程度的的確確，令人想見她一鑊打一鑊。

這個五索，癡得埋林作，滿腦子一定會有蠱惑搞作，只是葫蘆裏面是否性本惡，還看她磨刀霍霍，到底想得到甚麼收穫？


      
      
              



      
            
      
    
        
    
  


專欄作家 黃庭桄

《東周網》總編輯、《東周刊》副社長。傳記著作有陳方安生《盡付笑談中》、鍾鎮濤《麥當勞道》、余慕蓮",singtao,entertainment,2025-01-20 20:22
特朗普2.0｜取笑尹錫悅戒嚴風波 「說我混亂？你看看南韓」,2025-01-20 18:43:57,https://std.stheadline.com/realtime/article/2048242/即時-國際-特朗普2-0-取笑尹錫悅戒嚴風波-說我混亂-你看看南韓,"美國總統當選人特朗普20日宣誓就職，未來4年的華府決策如何牽動全球局勢引發各界關注。美媒指他近日曾開玩笑稱：「大家都說我混亂，但看看南韓！」意指南韓總統尹錫悅宣布戒嚴引發的政治動盪。尹錫悅面臨彈劾訴訟及遭逮述，並因拒絕接受訊問剛被延長拘留。

稱若取消彈劾願與尹會面

報道引述特朗普說：「大家都說我很混亂，但看看南韓。」還說「要是他們停止彈劾」，他會與尹錫悅會面。據信，這是特朗普首次評論尹錫悅戒嚴相關的南韓政局。

相關新聞：特朗普2.0｜總統交接有非公開留信「傳統」　前幾任都寫了什麼話你知……",singtao,international,2025-01-20 20:21
新加坡銀行料美國今年減息兩次 特朗普再上場 刺激金價及美元,2025-01-20 18:41:59,https://std.stheadline.com/realtime/article/2048240/即時-財經-新加坡銀行料美國今年減息兩次-特朗普再上場-刺激金價及美元,"新加坡銀行環球首席投資官謝佩華認為，2025 年是動蕩之年，由於特朗普政府將重點放鬆管制和減稅，從而使風險資產受益，美國經濟將在2025年實現軟著陸。但因為美國徵收關稅、美元走強及美國國債收益率上升，世界其他地區可能面臨更嚴峻的形勢。對此，中國可能會採取更多貨幣和財政寬松政策應對。

她預計，今年美國聯儲局可能將利率降至 4.25%，通脹放緩和增長放緩可能使聯儲局在2025年第一季繼續實施寬松政策，預計2025年上半年將減息一次。但隨著特朗普政府打算徵收高額關稅、收緊移民政策並減稅，通脹可能會反彈，此後利率保持高位，聯儲局可能會在今年剩餘時間內維持利率在4%左右的高位。

她續指，特朗普2.0",singtao,finance,2025-01-20 20:22
龔嘉欣拎視后同鄭嘉穎有關？陳凱琳隔空賀好友 賽前2歲細用一物加持沾運,2025-01-20 18:30:27,https://std.stheadline.com/realtime/article/2048205/即時-娛樂-龔嘉欣拎視后同鄭嘉穎有關-陳凱琳隔空賀好友-賽前2歲細用一物加持沾運,"35歲的龔嘉欣，加入TVB 18年，昨晚（19日）她在《萬千星輝頒獎典禮2024》成功揮低大熱對手楊茜堯、林夏薇及張曦雯，勇奪視后殊榮，賽果令人意外。龔嘉欣得悉賽果後淚灑當場，情緒激動。陳凱琳昨晚（19日）於家中看電視隔空支持好友龔嘉欣，當方中信宣布結果時，陳凱琳興奮得大叫，並在深夜出post，揭露龔嘉欣事前到訪鄭家，更獲細仔鄭承太（Carlos）及鄭嘉穎視帝大獎加持，沾沾好運。

陳凱琳恭喜龔嘉欣夢想成真

陳凱琳昨晚深夜在IG出post，她寫道：「I AM SO PROUD OF YOUUUUU！@kungkaty，嗰日Carlos兩歲生日嘅時候，我哋貪玩攞咗（KC)個獎嚟同你影相，希望預",singtao,entertainment,2025-01-20 20:22
馬會倡放寬同步聯播海外賽事上限 由25場增至26/27馬季55場,2025-01-20 18:27:36,https://std.stheadline.com/realtime/article/2048235/即時-港聞-馬會倡放寬同步聯播海外賽事上限-由25場增至26-27馬季55場,"博彩及獎券事務委員會今日（20日）邀請公眾人士就香港賽馬會增加賽馬博彩活動的建議提交書面意見。馬會建議同步聯播賽事的上限在2026/27年度增加至55日；同步聯播日增加至70日。

馬會向政府建議把每個馬季的同步聯播賽事的上限從2025/26馬季起，由目前的25場增加至40場，及由2026/27馬季起，由40場增加至55場；同步聯播日的日數上限則分別由目前的37日增加至53日，以及由53日增加至70日。


      
      
              



      
            
      
    
        
    
  


目前，馬會可在每年9月",singtao,local,2025-01-20 20:21
我要讚佢｜IVE學生推廣心靈健康 為青少年策劃「打氣」活動,2025-01-20 18:22:16,https://std.stheadline.com/realtime/article/2048234/即時-港聞-我要讚佢-IVE學生推廣心靈健康-為青少年策劃-打氣-活動,"青少年的精神壓力問題一直備受關注。為與青少年同行，傳遞享受和珍借生命的訊息，一班香港專業教育學院（IVE）商業學科高級文憑學生冀以生命影響生命，用「生命同行者」為題舉辦一系列活動，包括打氣嘉年華、心理急救工作坊、演講比賽及義工探訪等。這班學生希望以朋輩身份影響社區內有需要青少年，成為生命教育的推動者。團隊早前更獲「香港義工獎 2024」的「賽馬會眾心行善傑出愛心學校獎– 終選入圍獎」及「和富領袖網絡」的最佳分會金獎。

打氣嘉年華玩抗壓流沙

IVE學生透過親身接觸年輕人為他們打打氣，一掃生活的苦悶和壓力。團隊在IVE（觀塘）舉辦「打氣嘉年華」，策劃各具特色的工作坊，供IVE學生和公眾參與。I",singtao,local,2025-01-20 20:21
嚴重濫用公屋擬刑事化最高囚1年 一文睇清濫用定義 補習、在家工作點計？,2025-01-20 18:18:59,https://std.stheadline.com/realtime/article/2048232/即時-港聞-嚴重濫用公屋擬刑事化最高囚1年-一文睇清濫用定義-補習-在家工作點計,"【公屋/濫用公屋/舉報濫用公屋/房委會】房委會早前建議修訂《房屋條例》，將嚴重濫用公屋列為刑事罪行，違者建議罰款50萬元及監禁1年，房屋局局長何永賢日前表示有信心條例在7月通過並在明年實施。房委會亦於上周三（15日）起實施「舉報濫用公屋獎」，至今已收到200個舉報，較平時多。

嚴重濫用公屋擬刑事化 最高罰款50萬元及監禁1年

何永賢表示，過往當局只向濫用公屋人士發出遷出通知書，對他們來說是「搏得過」，認為最多也只是收回單位而心存僥倖，因此當局擬將嚴重濫用公屋行為刑事化，最高罰款50萬元及監禁1年。不過，何謂嚴重濫用公屋，何永賢則舉例說明其定義、又指部分較輕微事項會界定為「違反租約」收回單位",singtao,local,2025-01-20 20:21
法律年度開啟典禮︱杜淦堃：維護國安具根本重要性 湯文龍：法院斷案不偏不倚,2025-01-20 18:18:15,https://std.stheadline.com/realtime/article/2048231/即時-港聞-法律年度開啟典禮︱杜淦堃-維護國安具根本重要性-湯文龍-法院斷案不偏不倚,"【法律年度/杜淦堃/終審法院/海外法官/司法機構】香港大律師公會主席杜淦堃資深大律師今日（20日）在2025年法律年度開啟典禮致辭時指，過去一年在香港以外的評論者繼續批評本港司法系統，當中部分評論是不公平，有些可能是有惡意的，旨在破壞香港繁榮。他強調維護國家安全具有根本重要性 ，對維持經濟繁榮和市⺠福祉非常重要，但行動勝於言語，政府務必證明香港是個尊重公⺠權利的司法管轄區 ，應以審慎和相稱方式來運用新的國家安全法例下權力，因這對香港經濟和市⺠極為重要 ，亦與 「一國兩制」的成功相輔相成。

杜淦堃：政府需證明香港尊重公⺠權利

杜淦堃提到，去年公會針對《基本法》第23條擬議立法的每個主要方面都",singtao,local,2025-01-20 20:21
黃仁勳訪華揭中國離職率最低 曾稱必須工作如「着魔」 常由9點做到午夜,2025-01-20 18:03:49,https://std.stheadline.com/realtime/article/2048229/即時-財經-黃仁勳訪華揭中國離職率最低-曾稱必須工作如-着魔-常由9點做到午夜,早前美國再次發布新一輪人工智能出口管制措施，以及美國舉行總統就職典禮之際，英偉達（Nvidia，NVDA）行政總裁黃仁勳選擇開啟一場大中華之旅，先後到訪深圳、台北、台中及北京，行程包括參與分公司的年會，與一眾同事共慶新春、大派利是，並提到中國員工流動率是全球最低，每年離職率僅0.9%。,singtao,finance,2025-01-20 20:22
網絡詐騙︱去年網絡釣魚事故創5年新高  錄逾7800宗 同比飆升108%,2025-01-20 18:02:14,https://std.stheadline.com/realtime/article/2048228/即時-港聞-網絡詐騙︱去年網絡釣魚事故創5年新高-錄逾7800宗-同比飆升108,"【網絡安全/網絡釣魚/惡意軟件/AI】網絡安全問題層出不窮，香港網絡安全事故協調中心（HKCERT） 今日（20日）指，在2024年共處理12,536宗保安事故，其中網絡釣魚事故最為嚴重，佔整體個案62%（7,811宗），對比2023年上升108%，共增加4,059 宗，情況為5年來最嚴重。而2025年供應商安全性不穩及AI生成內容被騎劫等將成為香港網絡安全的主要風險。",singtao,local,2025-01-20 20:21
40歲張致恒年尾收爐冇工開 雯雯憂冇錢開飯網上發文尋死：成家跳樓,2025-01-20 18:00:00,https://std.stheadline.com/realtime/article/2048230/即時-娛樂-40歲張致恒年尾收爐冇工開-雯雯憂冇錢開飯網上發文尋死-成家跳樓,"40歲張致恒（Steven）與老婆區燕雯（雯雯）於2019年結婚，婚後連誕4子，二人因長期財困，不時問人借錢，甚至做伸手派向網民求助！面對生活經濟壓力，雯雯經常在網上放負。雯雯繼日前上網鬧爆被人偷去借來的奶粉錢後，今日又因為老公張致恒的公司將於明天收爐，又掀起她的焦慮，更揚言要全家自殺：「真係可以成家跳樓！」而長期受壓的張致恒也急急上網𢱑撈搵兼職。

張致恒明天收爐冇工開𢱑撈搵兼職

年近歲晚，不少行業都準備收爐放年假！外判工人的張致恒也是其中之一，今日（20日）他在IG的限時動態出post𢱑撈搵兼職，他貼出一張藍天白雲的照片，右下角有一名穿着橙色外判工人衣的男子，估計是他的同事。張致恒在相片",singtao,entertainment,2025-01-20 20:22
遊日注意｜櫻島火山爆發煙柱達1400米  年內第16次噴發,2025-01-20 17:59:43,https://std.stheadline.com/realtime/article/2048227/即時-國際-遊日注意-櫻島火山爆發煙柱達1400米-年內第16次噴發,"日本九州港人旅遊熱點，鹿兒島縣的櫻島火山於當地時間20日上午8時42分發生「爆炸性」噴發。南日本放送（MBC）報道，這次噴發產生中等量的火山灰，煙柱上至火山口上方約1400米的高度，並向東南方向飄散，大量巨型火山石飛落在火山口外500至700米處。


      
      
              



      
            
      
    
        
    
  


料大量火山灰降落

根據定時的火山灰預報，火山附近地區當天將有大量火山灰降落。

相關新聞：遊日注意｜櫻島火山爆發煙柱高達4000米 鹿兒島縣宮崎縣多地料降火山灰",singtao,international,2025-01-20 20:21
澳洲網球公開賽｜「新張德培」田亮拿男單16強出局 結束澳網神奇之旅,2025-01-20 17:58:07,https://std.stheadline.com/realtime/article/2048226/即時-體育-澳洲網球公開賽-新張德培-田亮拿男單16強出局-結束澳網神奇之旅,美籍越南裔球手田亮拿，因背景相似被冠以「新張德培」的稱號，此子於今屆澳洲網球公開賽連場爆冷，包括男單次圈淘汰5號種子美維迪夫，惟他於周一的16強以盤數1:3遭世界排名55意大利的辛尼高淘汰出局，結束今屆澳網神奇之旅。,singtao,sport,2025-01-20 20:22
土耳其狗媽叼垂危小狗診所求救  獸醫被母愛感動決心做一件事......｜有片,2025-01-20 17:57:31,https://std.stheadline.com/realtime/article/2048225/即時-國際-土耳其狗媽叼垂危小狗診所求救-獸醫被母愛感動決心做一件事-有片,"土耳其伊斯坦堡一隻沒有主人的狗媽媽，自己叼著一隻垂危小狗到一間獸醫診所前求救。獸醫表示，該隻小狗體溫過低，即將失去知覺，但成功被救活。獸醫診所指，他們被這隻勇敢堅強的狗媽媽所感動，將會為牠們找一個合適的收養家庭。

體溫過低  心率微弱

外媒報道，事件發生於上周一（13日）。閉路電視畫面顯示，一隻大狗叼著小狗冒雨跑到獸醫診所。獸醫簡單檢查小狗後，便前往治療室，狗媽媽亦隨同前往。當時，小狗在獸醫手上和手術枱幾乎沒有反應。

相關新聞：泰國忠犬｜癡情守候便利店等病歿主人 可憐樣感動上萬網友",singtao,international,2025-01-20 20:21
特朗普2.0｜總統交接有非公開留信「傳統」　前幾任都寫了什麼話你知……,2025-01-20 17:51:46,https://std.stheadline.com/realtime/article/2048224/即時-國際-特朗普2-0-總統交接有非公開留信-傳統-前幾任都寫了什麼話你知,"美國20日將舉行總統就職典禮，傳統上總統交接有不少獨特儀式，卸任者會給繼任者留筆信、就職前共進午餐，卸任者還會拿到就職與卸任當天在白宮懸掛的國旗留念。

重要傳統：留親筆信

綜合外媒報道，當代美國總統交接具代表性的一項傳統，是卸任者會在橢圓形辦公室的「堅毅書桌」（Resolute desk）上留下親筆信，向繼任者傳達祝賀與建言。這些信件內容大多圍繞在2位總統間的感謝與期待日後交流，時而帶有幽默色彩。

相關新聞：特朗普1月20日上任美國總統 就職典禮8大重點率先睇",singtao,international,2025-01-20 20:21
法律年度開啟典禮︱林定國：任何人威嚇國安案法官 都不是真正關心香港法治,2025-01-20 17:51:05,https://std.stheadline.com/realtime/article/2048223/即時-港聞-法律年度開啟典禮︱林定國-任何人威嚇國安案法官-都不是真正關心香港法治,"【法律年度/林定國/律政司/司法機構】律政司司長林定國今日（20日）在2025年法律年度開啟典禮上致辭時指出，香港司法機構在維護國家安全方面具有重要職能，任何人威嚇審理國家安全案件的法官，或以任何方式干預相關司法程序，「都不可能是真正關心香港的法治。」

林定國又表示，去年終審法院部分外籍非常任法官以不同理由離任，引起公眾關注，但不容忽略的是，前英國最高法院院長廖柏嘉勳爵已同意延長任期3年；前澳洲聯邦法院首席大法官歐頌律法官亦獲委任，任期3年；而歷來任期最長的外籍非常任法官賀輔明勳爵最近也同意再續任3年。",singtao,local,2025-01-20 20:21
法律年度開啟典禮︱張舉能：法院非輿論仲裁者 國安案與其他案採相同法律原則,2025-01-20 17:37:32,https://std.stheadline.com/realtime/article/2048220/即時-港聞-法律年度開啟典禮︱張舉能-法院非輿論仲裁者-國安案與其他案採相同法律原則,"【法律年度/張舉能/終審法院/首席法官/司法機構】終審法院首席法官張舉能今午（20日）在2025年法律年度開啟典禮致辭，重申法院並非輿論的仲裁者，亦非檢控機關的延伸；法院的本位是法律的守護者，若單單聚焦於備受矚目的國家安全或公共秩序案件，從狹窄的角度，對香港法治或司法獨立狀況作出以偏概全的結論，這是誤解司法機構的角色與職責的全貌。他又強調海外非常任法官提早離任並不意味司法機構的素質或獨立性減低。

海外法官離任不減司法機構獨立性

張舉能指出，隨着《香港國安法》的引入，以及根據《基本法》第23條制定的本地法例相繼實施，出現了一些因政治敏感而備受關注的案件，而對於新制定的法律條文，其解釋和應用亦",singtao,local,2025-01-20 20:21
TikTok復活︱開APP再現「Welcome back!」畫面  中國外交部回應,2025-01-20 17:34:13,https://std.stheadline.com/realtime/article/2048084/即時-國際-TikTok復活︱開APP再現-Welcome-back-畫面-中國外交部回應,"美國當選總統特朗普稱將於周一簽署行政命令，延長禁令生效期限，在行政命令下達前，任何協助 TikTok避免關閉的公司，都無需承擔責任。

TikTok歡迎畫面提及特朗普

美國時間1月19日早上，許多TikTok的美國用戶發現，前一晚下線的TikTok又可以重新使用，在打開TikTok應用後，系統自動彈窗通知稱：「感謝您的耐心和支持，依靠總統特朗普的努力，TikTok在美國重新回來了，你可以在TikTok上繼續創作、分享和尋找你所愛的所有一切。」

惟有消息指，字節跳動未有與美方達成任何協議，只是美方暫不執行法案。

相關新聞：TikTok復活︱ 消息：字節跳動並未與美方達成任何協議

中國外交",singtao,international,2025-01-20 20:21
上環酒店平台起火傳爆炸聲 消防趕至救熄,2025-01-20 17:30:54,https://std.stheadline.com/realtime/article/2048217/即時-港聞-上環酒店平台起火傳爆炸聲-消防趕至救熄,上環蘇杭街一酒店2樓平台，今日（1月20日）下午4時許有雜物起火，並傳出爆炸聲，黑煙直衝半空。消防接報到場灌救，未幾將火救熄，事件無人受傷，起火原因仍在調查。火警期間，急庇利街介乎蘇杭街與畢街之間全線封閉，交通繁忙。,singtao,local,2025-01-20 20:21
業權註冊制度︱發展局擬在2027年新土地實施 防範逆權侵佔,2025-01-20 17:28:59,https://std.stheadline.com/realtime/article/2048216/即時-港聞-業權註冊制度︱發展局擬在2027年新土地實施-防範逆權侵佔,"【逆權侵佔】發展局正計劃以業權註冊制度逐步取代現行的契約註冊制度，計劃以新批出的土地先行，並在3月向立法會提交《土地業權條例》的修訂草案，預計於2027年上半年在新土地實施業權註冊。條例規定在業權註冊紀錄註冊為擁有人的人將獲承認為真正擁有人，新方案下註冊業權的新土地，將不會出現逆權管有申索，可防範「逆權侵佔」。

註冊即真正擁有人 可簡化轉讓程序

局方指，業權註冊制度生效後，買賣物業時，無需翻查或保管過往的業權文件以核實物業業權，並可減少因遺失業權文件正本所帶來的不良影響；亦可簡化物業轉讓程序，提高效率並減低完成物業交易的成本。",singtao,local,2025-01-20 20:21
恒指收升逾300點逼近兩萬關 曾創今年新高 京東漲7% 專家料後續向上視乎一條件 ｜港股收市,2025-01-20 17:23:34,https://std.stheadline.com/realtime/article/2048104/即時-財經-恒指收升逾300點逼近兩萬關-曾創今年新高-京東漲7-專家料後續向上視乎一條件-港股收市,"上周中美兩國元首通話，傳美國新任總統特朗普擬上任100天內訪華，市場憧憬中美關係改善，恒指高開220點後，在重磅科網股造好及人民幣靠穩帶動下，最多急升509點，一度重返兩萬關並創今年高位；尾段滬深股市升幅收窄，恒指亦在高位回順，最終全日收報19925點，升341點，連升5日累升1051點。國指收報7235點，升126點。科指收報4595點，升116點。大市成交增至1613億元。

「ATMJ」造好 美團升5%

重磅科網股「ATMJ」成升市最大功臣，其中京東（9618）手機程式上線送禮功能，券商亦唱好京東顯著受益國補政策，該股急升7.3%，收報157.4元，為表現最佳藍籌股；同系的京東健康（6",singtao,finance,2025-01-20 20:22
